year,month,month_conversion,shopee_region,english_product_category,partner_type,conversion_count,usd_sale_amount,usd_revenue,usd_payout,usd_avg_sale_per_conv,myr_avg_sale_per_conv,%_revenue_per_sale,%_payout_per_sale,%_payout_per_revenue
2023,10,2023-10-01,Shopee Vietnam,Audio,Comparison,198,2581.91,30.29,27.25,13,61,1.17,1.06,89.96
2023,10,2023-10-01,Shopee Thailand,Fashion Accessories,Paid Traffic,3070,6302.12,208.35,144.82,2,10,3.31,2.3,69.51
2023,12,2023-12-01,Shopee Malaysia,Baby & Kids Fashion,Social,3210,10950.06,506.87,359.15,3,16,4.63,3.28,70.86
2023,12,2023-12-01,Shopee Singapore,Stationery,Paid Traffic,1647,9031.25,498.97,346.61,5,26,5.52,3.84,69.47
2023,12,2023-12-01,Shopee Singapore,Mobile & Gadgets,Comparison,80,2689.23,63.18,44.24,34,158,2.35,1.65,70.02
2023,10,2023-10-01,Shopee Malaysia,Beauty,Rewards,2373,13291.05,564.45,400.81,6,26,4.25,3.02,71.01
2023,9,2023-09-01,Shopee Singapore,Baby & Kids Fashion,Paid Traffic,501,3170.94,158.73,110.81,6,30,5.01,3.49,69.81
2023,10,2023-10-01,Shopee Indonesia,Mobile & Gadgets,Sub-Network,25022,229786.03,3951.86,2764.15,9,43,1.72,1.2,69.95
2023,10,2023-10-01,Shopee Thailand,Stationery,Sub-Network,1390,3334.77,64.73,46.01,2,11,1.94,1.38,71.08
2023,10,2023-10-01,Shopee Singapore,Watches,Rewards,23,198.39,3.63,2.56,9,41,1.83,1.29,70.52
2023,12,2023-12-01,Shopee Taiwan,Mom & Baby,Others,80,828.74,11.09,7.77,10,49,1.34,0.94,70.06
2023,12,2023-12-01,Shopee Philippines,Books & Magazines,Coupons,201,1043.02,11.39,9.11,5,24,1.09,0.87,79.98
2023,11,2023-11-01,Shopee Philippines,Mom & Baby,Rewards,3033,22574.57,453.71,362.69,7,35,2.01,1.61,79.94
2023,12,2023-12-01,Shopee Singapore,Health,Content,585,18171.22,659.58,461.94,31,146,3.63,2.54,70.04
2023,9,2023-09-01,Shopee Vietnam,Home & Living,Paid Traffic,31807,119511.87,3641.33,2856.57,4,18,3.05,2.39,78.45
2023,10,2023-10-01,Shopee Indonesia,Fashion Accessories,Coupons,215,317.44,11.17,7.8,1,7,3.52,2.46,69.83
2023,12,2023-12-01,Shopee Malaysia,Home & Living,Sub-Network,22313,141393.81,5360.55,3751.36,6,30,3.79,2.65,69.98
2023,11,2023-11-01,Shopee Vietnam,Sports & Outdoors,Paid Traffic,8532,41972.47,1437.29,1060.07,5,23,3.42,2.53,73.75
2023,12,2023-12-01,Shopee Indonesia,Computers & Accessories,Coupons,41,1195.08,5.88,4.11,29,137,0.49,0.34,69.9
2023,10,2023-10-01,Shopee Thailand,Stationery,Content,1157,3174.79,85.09,67.61,3,13,2.68,2.13,79.46
2023,10,2023-10-01,Shopee Thailand,Mom & Baby,Paid Traffic,3757,17385.08,698.03,488.38,5,22,4.02,2.81,69.97
2023,9,2023-09-01,Shopee Vietnam,Men Bags,Paid Traffic,843,5333.44,207.38,159.72,6,30,3.89,2.99,77.02
2023,11,2023-11-01,Shopee Indonesia,Books & Magazines,Comparison,28,79.03,1.66,1.12,3,13,2.1,1.42,67.47
2023,11,2023-11-01,Shopee Malaysia,Pets,Content,982,6702.46,218.65,153.01,7,32,3.26,2.28,69.98
2023,9,2023-09-01,Shopee Vietnam,Stationery,Comparison,1159,3025.3,45.5,41.02,3,12,1.5,1.36,90.15
2023,9,2023-09-01,Shopee Thailand,Motorcycles,Coupons,58,483.22,16.06,11.26,8,39,3.32,2.33,70.11
2023,9,2023-09-01,Shopee Singapore,Men Clothes,Content,185,1624.73,61.11,42.96,9,41,3.76,2.64,70.3
2023,11,2023-11-01,Shopee Singapore,Women Bags,Others,19,181.55,3.78,2.69,10,45,2.08,1.48,71.16
2023,12,2023-12-01,Shopee Thailand,Stationery,Comparison,124,382.03,8.87,6.24,3,15,2.32,1.63,70.35
2023,10,2023-10-01,Shopee Taiwan,Fashion Accessories,Paid Traffic,12309,66123.02,514.39,361.18,5,25,0.78,0.55,70.22
2023,10,2023-10-01,Shopee Singapore,Baby & Kids Fashion,Rewards,50,354.38,14.06,9.86,7,33,3.97,2.78,70.13
2023,9,2023-09-01,Shopee Indonesia,Automobiles,Others,133,859.61,17,11.95,6,30,1.98,1.39,70.29
2023,11,2023-11-01,Shopee Philippines,Motorcycles,Content,430,4205.91,50.61,43.05,10,46,1.2,1.02,85.06
2023,9,2023-09-01,Shopee Thailand,Motorcycles,Content,158,2309.85,28.98,23.87,15,69,1.25,1.03,82.37
